Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,200,0,0.0,30,1573265503,-1874889055,0.40325509014396493,0.27100539355198855,50.233333333333334,38.766666666666666,56.441947565543046,0.5282885452687889,0.3526258578510412,0:32
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,500,0,0.0,30,1732554206,-339055114,0.38917866536090645,0.27600075719042355,50.666666666666664,38.333333333333336,56.928838951310844,0.5214397240775819,0.36911388887067326,1:22
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,1000,0,0.0,30,-617125870,-324878903,0.3691820891515894,0.2727040098288332,50.8,38.2,57.078651685393275,0.505388681905261,0.38714611976719215,2:41
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,200,0,0.0,30,573960695,-1758959608,0.6761648083661375,0.6974899877596085,61.86666666666667,27.133333333333333,69.51310861423221,0.9827638483748306,1.1853542052974615,0:32
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,500,0,0.0,30,350997937,-1049262317,0.666120415066282,0.7073878473764772,60.4,28.6,67.86516853932586,0.9714393915479902,1.1448860171519992,1:24
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,1000,0,0.0,30,-1908815356,1311472326,0.6935849124380954,0.7904781683228977,61.63333333333333,27.366666666666667,69.25093632958801,1.008655039044034,1.2651065921093574,2:43
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,200,0,0.0,30,413186378,-1593137727,0.6889449511873015,0.7084640692576956,62.766666666666666,26.233333333333334,70.52434456928839,0.9919922408634305,1.2350507160718331,0:32
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,500,0,0.0,30,1048085693,-1003476460,0.7022176846797501,0.750747628750234,60.93333333333333,28.066666666666666,68.46441947565542,1.002854741662227,1.236773691341344,1:21
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,1000,0,0.0,30,-1378769505,1244405558,0.6929532070884079,0.7405652855908478,60.93333333333333,28.066666666666666,68.46441947565543,1.0079660272082192,1.262979930736981,2:42
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,200,0,0.0,30,1842156627,806385898,0.38788914170252065,0.2738754679313249,48.56666666666667,40.43333333333333,54.5692883895131,0.5248330006826589,0.37742569037329676,0:35
